u,g,r,i,class
22.75029,21.12855,19.2546,18.56268,0
21.56707,20.809,18.97243,18.27128,0
21.05396,20.90528,20.8191,20.42911,1
24.04868,21.2632,19.62364,18.79099,0
22.48831,21.18242,19.3686,18.7344,0
21.00511,20.01248,19.9191,19.87427,2
21.79846,20.52373,18.69167,17.98839,0
21.07939,20.12279,19.95463,19.92189,2
20.52765,19.22914,17.79683,17.26579,1
24.33229,22.08451,20.19784,19.32301,0
25.52089,24.51205,21.49658,20.38743,0
21.45478,20.66184,20.5803,19.77521,0
19.31087,18.38455,18.06777,17.93809,2
19.52698,17.62607,16.70704,16.2589,0
23.46828,20.58186,18.82452,18.15916,0
21.87307,19.53156,17.97147,17.44305,0
24.98636,21.56121,19.99233,19.01537,0
21.67819,20.93355,19.00058,18.32665,0
22.81714,23.10112,22.43569,21.51895,0
25.23506,22.83528,21.14528,20.05072,0
24.13953,22.71172,22.47017,21.98651,0
25.94195,21.43766,19.82277,18.86141,0
23.81076,22.78065,22.6168,22.51735,0
21.59099,20.16745,19.5687,19.32621,2
22.7095,22.32083,20.65775,19.70201,0
23.5737,23.08388,21.72969,20.70688,0
21.51583,20.63829,20.43363,20.41614,1
25.66778,22.42311,21.72739,21.10151,0
20.63404,18.48429,17.43067,16.93875,0
24.77229,22.39697,20.65916,19.72831,0
23.45995,21.71657,20.39072,19.52091,0
23.82965,20.98613,19.32021,18.60972,0
22.83684,22.1191,20.58951,19.58403,0
24.94631,24.65136,22.10608,20.49779,0
23.26146,22.07642,21.43816,20.71062,0
22.54632,22.55502,20.74815,19.55478,0
19.10526,18.07667,17.63217,17.42286,2
24.33053,20.73237,20.00467,19.79232,2
19.89257,18.47587,17.45723,16.97835,0
23.2977,22.72286,21.20426,20.09266,0
23.75411,24.07903,22.88085,20.06977,2
21.36229,21.91844,21.26442,21.13737,1
25.05093,21.00354,19.3197,18.54743,0
24.99884,20.94802,19.12558,18.31685,0
22.47035,20.65965,19.03917,18.39728,0
19.78989,18.43037,17.56927,17.12062,0
25.42481,22.27275,20.79247,19.94056,0
26.17633,23.37481,21.31535,20.21142,0
23.7087,20.37234,18.88991,18.21075,0
21.42288,19.71227,18.06983,17.43725,0
19.61837,19.61978,19.24542,19.15556,1
26.87943,26.53025,21.40861,20.40016,0
21.67509,19.16865,18.47505,18.24729,2
22.85001,22.09837,21.88609,21.51597,0
24.27885,23.48979,21.43781,20.16669,0
19.67606,18.44008,18.00724,17.86523,2
22.86759,21.14644,20.49498,20.13404,2
24.25549,22.14788,20.72991,19.84853,0
19.28366,17.55281,16.66409,16.24316,0
24.7225,20.70149,20.32717,20.00602,0
23.64016,23.09597,21.00137,19.68844,0
24.16835,22.03935,20.4929,19.57845,0
24.66349,22.64882,22.08934,21.43744,0
21.16818,18.99257,17.72412,17.2264,0
21.09929,19.25861,17.91342,17.39804,0
25.60891,24.14267,20.62584,19.44774,0
19.73735,17.74256,16.72543,16.24935,0
22.11959,20.18939,18.54109,17.92072,0
20.45284,18.96654,18.01148,17.38544,0
24.38854,21.79473,20.32021,19.84185,0
22.62226,21.64376,20.49803,19.577,0
21.39529,20.96023,21.03323,21.04634,1
22.02569,21.18698,20.75382,20.59792,2
23.57611,22.39287,20.63757,19.76733,0
20.10253,18.45927,17.51128,17.03427,0
24.32842,22.37372,20.43996,19.47189,0
22.55831,22.23936,20.41464,19.46397,0
23.81205,21.40592,20.26996,19.52342,2
24.65099,21.46972,20.90471,20.66626,2
25.79175,23.83295,21.79431,20.58316,2
20.48009,18.57426,17.65312,17.23367,0
25.8676,22.62255,22.03663,21.97824,1
26.13667,22.7026,21.9688,21.25359,0
19.46911,17.99198,17.06131,16.59036,0
23.56212,21.94625,20.73806,19.78288,0
21.40055,21.23085,21.19204,20.95159,1
26.17681,22.17133,20.65857,19.74683,0
26.46628,22.6596,20.52412,19.41378,0
19.98856,18.23989,17.21372,16.76546,0
20.1951,18.24792,17.23707,16.81596,0
22.26566,21.35546,20.19329,19.40204,0
26.36509,22.18113,20.51924,19.46307,0
24.28073,23.18158,21.71924,20.64749,1
22.96768,20.85279,19.18974,18.52382,0
17.10095,16.15227,15.86879,15.7305,2
26.12318,21.79576,20.1,18.92815,0
25.9391,22.88894,21.43876,20.08519,0
20.84703,20.131,19.96109,19.95855,1
23.80152,21.61683,20.57787,19.87319,2
20.79652,18.16893,16.96238,16.3534,0
23.76798,22.18733,21.93584,21.5942,0
18.85805,17.89683,17.56354,17.43642,2
21.72983,20.37295,18.55971,17.82216,0
23.48552,20.36803,18.75184,18.13626,0
22.98918,21.36163,19.67344,18.88162,0
23.18786,20.69057,19.29476,18.39792,2
24.80138,22.93855,21.60555,19.92142,2
22.08716,21.84562,21.57556,21.4399,1
19.15715,18.14901,17.75594,17.59832,2
21.2143,18.81293,17.87423,17.5192,2
22.30721,21.80054,21.49734,21.35051,1
22.76285,21.47941,19.98232,19.05719,0
21.85368,20.02444,18.41871,17.83981,0
20.00209,18.35984,17.1223,16.63883,0
22.11507,19.603,18.96948,18.50953,2
25.19205,22.58271,21.47263,20.45145,0
20.2115,18.99741,18.49769,18.2676,2
26.08961,22.06151,20.42702,19.57727,0
21.68184,21.24942,21.19215,20.76211,1
19.13382,17.22368,16.14992,15.70482,0
26.31082,22.52092,20.1996,19.03003,0
17.96934,17.10763,16.76155,16.62646,2
23.58846,21.63663,19.58529,18.96887,0
25.18395,24.36711,21.56137,20.42349,0
18.79543,17.7265,17.31048,17.14916,2
24.28119,21.70505,21.27681,21.48796,1
25.20543,23.90943,22.35902,20.78186,2
25.65561,23.80212,21.84603,20.83191,0
21.52254,19.22573,17.86535,17.25708,0
25.00938,22.81676,21.1612,20.15437,0
20.994,20.72263,20.60707,20.55688,1
21.8687,21.66479,21.63461,21.50777,1
22.86793,21.92211,20.2692,19.42604,0
25.51969,22.82651,20.99841,19.92382,0
25.96702,21.65413,20.06016,19.23205,0
21.5607,19.27445,17.90644,17.36594,0
25.85281,23.28472,21.8949,20.6727,2
24.19611,22.12089,20.31641,19.30964,0
24.40561,21.55013,19.66155,18.91728,0
21.21622,20.56515,20.34825,20.17658,2
19.69675,17.65031,16.74708,16.32174,0
19.42904,18.18126,17.55478,17.16603,0
23.65991,21.5041,21.24422,20.93335,2
20.39972,18.65051,17.56867,17.13665,0
22.64056,21.72721,20.29417,19.50317,0
22.00012,20.10382,18.5552,17.96343,0
22.66082,22.43775,21.85994,21.46553,0
23.27365,22.07475,20.61852,19.78288,0
23.89452,24.07803,22.85078,23.69384,0
24.88919,23.75215,21.76542,20.58829,0
23.13281,22.26308,20.76007,19.83266,0
22.85611,20.60753,18.94073,18.1706,0
19.74909,17.62761,16.66125,16.20605,0
19.75874,18.52562,17.71739,17.26939,0
23.29347,22.22489,20.88032,19.83773,2
23.21556,20.74367,19.89105,19.59407,2
25.10712,20.38039,18.67678,18.1187,0
20.73068,18.30078,17.21794,16.7999,2
26.17678,21.35816,19.42136,18.80324,0
25.20951,23.94043,21.82324,20.62962,0
24.19589,23.04204,22.35382,21.65938,0
23.52703,21.75207,20.04719,19.21912,0
25.54467,22.59375,20.89603,19.82286,0
25.4149,21.96357,20.2799,19.45344,0
26.79629,22.05952,20.31083,19.44598,0
19.60814,17.53594,16.56142,16.09692,0
19.7422,17.35823,16.15637,15.66806,0
24.74426,22.84778,20.82133,19.6525,0
19.50103,19.43128,19.18091,19.22486,1
23.82327,22.29976,22.00571,21.60075,1
20.68509,20.12211,20.11355,19.88805,1
20.49321,20.40642,20.3271,20.38655,1
22.53512,21.25476,20.93019,20.98465,1
22.41668,20.88136,20.72277,20.45518,2
22.12356,22.12916,21.48356,22.50001,1
23.27662,22.22567,20.36045,19.40374,0
18.38734,16.42051,15.49541,15.06117,0
19.78777,17.74047,16.76778,16.32593,0
23.56691,22.16041,20.81888,20.06049,0
22.45395,21.80468,21.56471,21.93163,2
25.11548,22.8601,21.67631,20.50663,2
20.10016,19.21645,18.7906,18.59375,2
19.01315,17.38179,16.53001,16.10033,2
19.89273,19.05791,19.02695,18.90641,1
21.64454,21.29835,20.91699,20.69115,0
22.91566,21.88283,21.21291,20.31331,0
24.04898,22.47838,20.90346,19.83749,0
21.97226,22.96636,21.21032,19.89437,0
23.05378,21.51193,19.62962,18.60663,0
22.42895,21.14878,19.50111,18.7457,0
18.05965,16.91464,16.52157,16.38858,2
21.67262,18.86327,19.38965,18.07319,2
20.26761,19.87341,19.73041,19.4174,1
19.39154,19.34803,19.10015,18.97772,1
24.499,23.26651,21.21797,20.16153,0
18.94933,17.75194,17.25803,16.94031,0
22.2613,21.92272,21.96199,21.74156,1
19.23586,18.10668,17.65352,17.30453,0
23.81249,25.92947,22.94801,21.46995,0
22.82123,22.45402,21.89157,21.72145,0
20.81753,19.72284,19.32618,19.17657,2
24.78413,22.32183,20.57854,19.46078,0
18.11984,17.97356,17.88874,17.73592,1
23.41684,21.272,19.71555,19.07061,2
26.29178,24.03295,22.21834,20.73148,0
19.19991,18.24198,17.9488,17.82873,2
19.36142,18.05021,17.49232,17.20602,0
21.86129,21.85297,21.69443,21.17838,0
24.52197,22.9119,21.3323,20.09325,0
23.57429,20.12977,19.45893,18.73102,0
18.01983,16.54403,15.89769,15.63642,2
22.03823,19.27386,17.8704,17.33694,0
20.55546,19.47933,19.10962,18.9845,2
25.59961,24.2105,22.02445,20.69534,0
21.31704,18.62226,17.36248,16.8538,0
19.20303,17.73631,16.98475,16.56625,0
20.22742,18.2266,17.04586,16.54622,0
19.91219,17.93741,16.98055,16.53292,0
19.04696,17.22144,16.29342,15.8803,0
23.37988,22.68406,20.81085,19.78117,0
23.2597,23.12258,21.29154,20.03521,0
21.8317,21.28653,21.10206,20.72706,1
23.54609,21.51635,20.82838,19.46813,1
19.32914,18.42183,18.11385,18.00414,2
22.45015,22.2207,21.85213,21.6034,1
25.42053,21.41124,19.52965,18.6223,0
18.83662,17.69491,17.2074,16.93991,0
22.08046,21.05438,20.82405,20.64363,1
25.63137,22.86869,21.39758,20.2894,0
23.61847,21.73613,20.25182,19.35573,0
20.62201,19.52623,19.05624,18.82126,2
22.87416,21.33412,19.66653,18.88679,0
19.62462,18.41667,17.7396,17.35518,0
24.36134,21.52068,19.83996,19.00958,0
25.54412,23.64321,21.44274,20.93604,1
17.68916,15.97373,15.15367,14.68167,1
22.52136,21.86059,21.79214,21.53356,1
22.48069,21.59299,21.41781,21.39655,2
22.62293,22.06701,22.03421,21.6739,1
20.15717,18.11585,17.2271,16.80509,0
18.43123,17.36957,17.01707,16.73737,0
23.12058,22.29039,22.25207,21.2768,0
22.613,21.41979,19.66135,18.88955,0
22.45894,20.05009,18.55992,17.97892,0
23.16399,21.94209,21.72894,21.80462,1
22.60466,21.24058,19.77776,19.0077,1
21.59809,19.49459,18.00598,17.39826,0
20.70165,18.71933,17.53856,17.05322,0
21.21341,20.73188,18.71996,18.03729,0
22.6565,22.00423,20.3888,19.33475,0
21.55103,21.44381,21.11766,21.02785,1
22.52248,21.89821,20.83629,19.93434,0
21.5149,21.73071,21.59513,21.59201,1
23.03668,21.92271,20.02522,19.15935,0
24.05469,22.55625,20.63247,19.68874,0
18.12514,16.33902,15.49083,15.09037,0
19.36339,18.59988,17.7727,17.40944,0
19.99488,18.09663,17.38403,16.89825,0
22.694,21.54755,21.71442,21.58842,1
22.55217,22.63889,20.85187,19.7062,0
17.34625,15.74875,14.98867,14.59202,0
20.17048,19.09999,18.74806,18.55675,2
22.2883,20.13398,18.54153,17.95333,0
18.56722,17.0926,16.42044,16.03973,0
21.40666,21.12656,20.87755,20.52753,1
20.75597,20.43321,20.32285,20.19661,1
20.01079,18.03053,17.0127,16.56705,0
24.20317,22.22647,20.54746,19.51304,0
25.96611,23.92512,22.65995,21.14507,0
22.3543,21.2736,19.77112,18.99176,0
23.43597,19.78043,18.26995,17.68547,0
22.50141,20.1486,18.56152,17.98402,0
20.43716,19.86356,19.63254,19.69841,1
22.22074,21.59676,21.38079,21.19643,0
22.59337,19.98943,18.42565,17.80073,0
21.47953,20.77097,20.65826,20.25345,1
19.03886,18.72794,18.60981,18.61537,1
21.40107,18.85134,17.53685,17.00701,0
22.61451,20.87574,19.24317,18.54828,0
20.91714,19.48574,18.89963,18.68602,0
25.37459,23.30517,21.10399,20.03917,0
24.97303,22.15658,21.84679,20.82607,0
23.05069,22.98034,22.70281,21.7138,0
26.23955,23.60191,21.31301,20.04629,0
24.64238,20.73464,19.71647,19.44339,1
19.19634,18.87775,18.64186,18.70279,1
24.16891,22.13914,19.83993,18.74498,0
22.98287,21.91233,21.36972,21.25299,1
22.87735,21.36545,21.10256,21.19824,1
22.90105,22.72745,21.64078,20.56035,0
20.8777,19.78405,19.37059,19.37753,1
16.29036,14.98015,14.40998,14.13269,0
24.07615,20.20281,18.35111,17.72606,0
24.904,23.2613,21.58657,20.40841,0
21.88004,21.19219,21.08838,21.15007,1
24.33207,22.0433,20.36061,19.47561,0
24.34503,22.19583,20.49215,19.63985,0
19.51786,18.44446,18.01188,17.85403,2
19.68303,18.72236,18.38973,18.25863,2
21.29851,20.62985,20.5854,20.67089,0
24.11551,23.1128,21.27896,20.59968,0
18.77055,18.31045,17.94533,17.48212,1
23.2621,21.92967,19.65609,18.99593,0
22.25642,21.60066,20.96276,20.28909,1
22.88832,21.31242,21.01424,21.01096,1
18.54051,17.60909,17.25403,17.13204,2
19.88696,18.28697,17.30756,16.863,0
21.9697,21.69142,20.48382,19.68355,0
23.88714,20.92152,19.17292,18.55724,0
23.96523,21.42118,20.00801,19.21332,0
22.06047,21.49349,21.30708,21.06376,2
21.74941,21.17708,21.07338,20.87147,1
22.52108,20.51672,18.98143,17.78214,2
26.41166,22.9683,20.99378,19.70935,0
24.38852,21.3221,20.20111,20.09867,1
19.14868,18.08984,17.59496,17.22668,0
19.92377,18.41608,17.63816,17.16124,0
23.17855,21.63509,19.63643,18.96898,0
19.32994,18.36031,18.04727,17.91241,2
18.48399,17.59546,17.25394,17.031,1
23.35526,22.95504,21.14936,20.15018,0
24.30368,21.38791,20.20199,19.44948,0
26.03638,21.71799,20.00949,19.11183,0
24.27203,22.32071,20.78716,19.82095,0
23.35347,21.32592,19.48891,18.55392,0
22.16698,21.56516,20.34374,19.45789,0
21.14968,20.25723,19.84855,19.63415,2
21.83054,21.53571,21.21056,20.98654,1
21.65155,20.536,19.51083,19.09256,0
20.73864,19.00505,17.85013,17.3769,0
25.44003,21.90868,20.2808,19.64393,1
20.52682,18.55648,17.53902,17.09452,0
23.19383,23.73971,21.54873,20.54965,0
23.89599,22.01407,20.9209,19.93479,0
25.1917,22.71321,20.76615,19.90337,0
25.58624,21.38617,19.62643,18.86878,0
23.2485,21.28226,21.06076,21.11761,1
25.31499,21.86632,20.39668,19.54815,0
20.78828,19.58437,19.25841,19.08373,2
22.26971,24.67696,22.72506,21.64342,0
21.30417,20.79554,20.68574,20.50788,1
22.48127,21.1896,20.88367,20.94802,1
22.73873,23.34291,22.39384,22.49235,0
18.61127,16.84958,15.98413,15.49771,0
22.25053,20.63235,18.93583,18.31648,0
23.9464,21.5177,20.90597,20.71401,1
23.10574,21.20415,20.9767,20.9801,2
24.80962,22.49836,20.91617,20.01835,0
20.21448,18.54888,17.73361,17.32779,0
26.16064,22.94258,21.08912,19.83749,0
20.7764,18.72934,17.83618,17.33983,0
24.09465,21.88279,20.3117,19.48333,0
23.37817,20.81615,19.16594,18.5826,0
21.51826,20.06415,19.29712,19.00302,0
23.69496,22.85708,20.6259,19.52115,0
18.12247,16.82023,16.33806,16.07236,0
23.00851,22.65649,22.50306,22.07332,0
24.22989,22.92026,21.01995,19.87236,0
24.37272,23.12696,21.16775,20.01004,0
24.8945,21.30656,19.38907,18.7677,0
24.01,22.26892,20.86107,19.603,0
23.46145,20.65291,18.82901,18.15485,0
19.85177,17.81376,16.80184,16.30758,0
19.20109,17.34717,16.37304,15.85571,0
24.77458,20.23267,18.7455,18.08122,0
18.69254,17.13867,16.55555,16.34662,2
21.87027,21.40379,21.67117,21.45846,1
25.19726,21.68553,21.17727,21.37603,1
21.91985,21.29486,21.25528,21.18014,1
23.69037,21.66498,20.24754,19.46935,0
22.99539,21.62811,20.53926,19.76342,1
25.5122,21.94963,19.91568,18.8532,0
22.47975,22.50998,21.45529,21.26196,2
23.46386,21.66695,20.1482,19.08251,0
24.02102,22.32157,20.87354,19.93942,0
22.75752,21.74848,19.80762,18.94076,0
21.34097,20.73549,20.92211,20.67433,1
19.98587,19.51705,19.29531,19.30598,1
20.13341,18.4769,17.77978,17.49279,2
23.21818,20.52858,19.06182,18.49868,0
18.61144,17.33632,16.7077,16.3588,0
25.50784,23.50698,21.36539,20.23456,0
24.79834,22.31385,21.44261,20.35306,0
19.07973,17.19942,16.32127,15.85395,0
23.42383,22.79313,22.23577,21.57393,0
22.09769,21.92319,21.58768,21.25445,1
23.60089,21.38233,21.37332,21.3417,1
19.65585,17.83227,17.04149,16.71577,2
21.39997,20.19881,19.81745,19.65355,2
23.80782,22.20971,21.42966,20.40257,0
23.98897,21.52378,20.12031,19.1812,0
20.86101,20.29561,19.63528,19.21677,1
20.75992,19.03496,17.78198,17.18225,0
23.85243,21.80487,20.7861,19.75549,0
26.64775,22.69526,21.45381,20.34727,0
21.47743,20.14855,19.57965,19.36691,2
18.78891,17.56278,16.87035,16.49809,0
22.34557,20.39784,18.86681,18.28266,0
21.24322,20.95695,20.592,20.16492,1
20.04036,19.11486,18.69778,18.56667,2
24.47764,20.82095,19.06261,18.32385,0
22.53616,23.20178,21.52697,20.30453,0
19.09834,17.89322,17.34998,17.12917,2
25.07685,22.93181,22.06595,21.72371,0
19.92843,19.55653,19.46131,19.21041,1
21.58435,20.73134,20.73818,20.64492,1
20.79941,20.42518,20.27312,20.25049,1
21.11353,20.77868,20.45681,20.5859,1
22.89672,23.35383,21.51295,20.37163,0
24.40874,22.03366,20.2913,19.47608,0
23.01941,20.96851,19.20439,18.51546,0
24.79306,22.59224,21.11893,19.74553,0
23.71173,22.45929,20.62113,19.58568,0
22.29024,21.48548,20.64042,20.17393,0
21.2786,20.07355,19.26311,18.76494,0
19.44305,18.23332,17.77088,17.54578,0
23.34753,22.95736,21.18144,20.23484,0
20.81928,20.3866,20.27797,20.2844,1
22.68804,21.41266,20.12984,19.35281,0
21.00839,20.9735,20.84116,20.70925,1
25.48403,21.36719,19.93459,19.4407,0
22.59143,22.29147,20.66982,19.84282,0
22.18537,21.45992,20.03872,19.23161,0
22.47718,22.47907,20.51184,19.42256,0
19.5335,17.72243,16.61534,16.04093,0
26.28509,20.39012,18.74812,18.12288,0
25.29155,23.41045,22.11816,21.5235,0
20.46262,18.10149,17.08979,16.70486,2
22.07114,21.27918,19.46722,18.80933,0
24.48596,23.83877,22.00723,20.99248,0
23.66974,23.67438,22.24387,20.55013,0
22.24297,21.62966,20.18916,19.39708,0
22.01089,21.12976,20.93427,20.79435,1
24.51452,22.12281,20.40836,19.20853,0
25.36649,21.68607,19.91045,19.00686,0
19.20811,17.95179,17.36127,17.11378,2
21.89418,19.07006,17.61748,16.55334,2
24.81018,21.53275,20.37909,19.61484,0
18.77424,17.22705,16.33456,15.93312,0
18.99692,18.00012,17.55031,17.24866,0
23.35115,22.44501,22.22264,21.84014,0
22.03355,21.40828,19.47509,18.60911,0
24.40008,21.94279,20.73148,19.58073,0
22.85721,22.51645,20.76214,19.7247,0
23.36523,21.12401,20.90149,20.87623,1
21.16042,19.40536,18.8041,18.58022,2
25.17715,22.13116,21.4021,21.11711,0
22.08285,21.59034,21.39244,21.16492,1
20.96892,20.83623,20.66969,20.6785,1
18.94124,18.03001,17.66418,17.53177,2
24.66665,20.6735,19.71057,19.66529,1
22.98351,22.02182,20.29768,19.50344,0
25.59447,23.39365,21.85141,20.47907,0
21.70891,21.31832,21.25686,21.1246,1
24.69055,22.45239,20.50751,19.47038,0
24.24437,23.29342,23.55923,21.57835,0
24.00978,20.57254,18.84869,18.19182,0
22.41763,20.53085,18.87906,18.20063,0
26.07031,20.80996,19.90335,19.52859,2
20.27483,18.70209,17.76196,17.27077,0
23.81982,22.91344,21.53858,20.44844,0
20.40948,20.13962,19.35467,18.54392,2
22.821,22.57212,20.38766,19.25348,0
24.84702,21.86965,20.51617,19.59972,0
20.83129,18.80602,17.57999,17.00249,0
25.82987,22.63466,20.96924,19.91688,0
19.72387,18.56746,17.97343,17.71948,2
22.33789,21.39546,20.62354,19.90804,0
22.42023,22.89615,21.57412,20.96985,0
22.34835,22.39326,21.13556,20.1718,0
22.20031,22.05933,20.73878,19.81866,0
18.90823,17.57254,17.17502,16.94308,0
22.58497,21.99757,22.02999,21.78737,1
18.05289,17.09906,16.7379,16.60352,2
23.6176,22.16483,20.49287,19.84615,0
22.28395,21.30197,20.97513,21.11542,2
26.36562,23.33049,21.69292,20.24928,0
24.03514,23.37992,21.56651,20.40096,0
22.11394,21.13994,20.86277,20.79803,1
23.50282,21.43503,19.58008,18.90198,0
20.71027,20.75232,20.56652,20.46295,1
22.95119,21.76273,21.72502,21.93122,1
23.63302,22.39,21.89986,21.38202,0
23.72206,23.2291,20.61131,19.49781,0
21.69701,20.65406,18.8835,18.28157,0
23.65094,22.25857,20.54566,19.6471,0
22.76708,21.4574,19.90221,19.03202,0
21.79999,21.27388,20.94199,21.05294,1
23.16001,20.95892,20.5645,20.31317,2
23.98635,22.00987,20.71657,20.31032,0
22.89201,22.381,21.67241,21.15069,0
17.93136,16.4223,15.75872,15.48061,2
19.84202,18.46754,17.7091,17.25333,0
23.95034,22.51686,21.29172,20.25023,2
23.33323,21.52923,19.86937,19.23862,0
23.63919,22.02075,21.22801,20.96877,0
27.8003,27.07299,22.63593,21.16288,0
21.71343,19.44245,18.0153,17.02791,2
23.46042,21.80523,20.44702,19.42682,0
24.62506,23.44229,21.75333,20.63537,0
21.87787,21.3571,20.27615,19.2744,0
23.41846,22.19672,20.48074,19.5299,0
26.52273,25.9365,22.58317,20.80099,0
19.58006,17.70593,16.7491,16.33185,0
19.29924,18.1433,17.71518,17.47768,0
22.36135,22.9515,21.11712,19.79699,0
23.49405,22.82947,20.70305,19.71203,0
26.77312,22.40303,20.64072,19.23518,0
21.89462,22.07329,21.53935,21.03487,0
24.49288,21.39506,20.94682,20.80132,2
23.714,22.63513,21.00013,20.14938,0
23.57496,22.68331,21.18938,19.00215,2
23.41783,21.93533,21.64821,21.8068,2
23.86918,20.80371,18.9594,18.36901,0
22.30395,21.00547,19.17736,18.47112,0
18.80125,17.32627,16.65771,16.27342,0
20.62285,18.66681,17.36212,16.86895,0
21.68397,20.91688,20.77073,20.6142,2
23.35479,22.74721,21.60898,20.51747,0
25.38729,22.84618,21.06535,19.9534,0
22.15742,21.04981,20.59487,20.33384,2
22.2431,22.10404,20.94965,20.00805,0
23.85141,21.75682,20.27101,19.48039,0
25.31965,28.9032,21.181,20.03103,2
20.59706,18.18923,17.21305,16.80456,0
21.75665,20.55782,18.88503,18.25792,0
21.93628,21.75338,21.36153,21.25124,1
21.51415,21.58237,21.6176,21.3235,1
24.58694,22.24635,20.89173,19.76598,0
18.74441,17.24021,16.67171,16.4806,2
25.60095,21.79423,20.75497,19.65759,2
19.23581,17.6679,16.74132,16.30317,0
24.84922,22.66522,21.84109,21.22774,0
17.68583,16.78106,16.49471,16.39366,2
22.35812,22.09074,20.39428,19.30499,0
20.83422,19.05932,17.55533,16.94584,0
26.39015,22.00114,20.28762,19.15424,0
22.0337,21.71834,21.36694,21.54305,1
22.35165,21.94377,21.5804,21.34954,0
23.33812,23.05171,23.45505,21.73623,0
26.11105,22.21483,20.70899,19.72489,0
21.82646,22.40806,21.76745,20.73186,0
25.94477,21.99773,20.22885,19.41806,0
18.75872,18.1193,17.85694,17.5881,0
21.26942,21.67853,21.17352,21.26186,1
21.11976,20.39539,20.03682,19.88197,2
24.32337,21.3064,19.4941,18.84143,0
24.78336,21.73759,19.4737,18.88655,0
24.81017,21.52196,20.59366,20.19656,2
23.14042,22.40757,20.6306,19.69073,0
23.50156,21.63956,19.86559,19.04439,0
20.48314,18.62508,17.39396,16.86297,0
19.70601,18.25816,17.50951,17.08608,0
19.4674,17.96509,17.23945,16.86074,0
19.43852,17.31379,16.191,15.6443,0
23.29629,21.4312,21.11258,21.10778,2
24.01793,23.26424,21.30038,19.87926,2
23.5428,22.44202,21.85918,21.44137,1
19.97784,18.34956,17.59363,17.23196,0
22.50162,20.53223,18.90075,18.2592,0
23.17419,24.01706,21.43984,20.15516,0
23.50436,23.2227,20.95876,19.82784,0
20.47389,19.16003,18.84618,18.69572,2
18.95208,17.98959,17.67957,17.56158,2
25.98425,22.47498,20.68632,19.48758,0
21.72269,21.10264,20.16942,19.44066,0
19.08032,18.98108,18.64163,18.61505,1
25.95413,22.14836,20.31723,19.42632,0
22.81715,21.34332,20.63828,19.83549,1
23.2549,24.5339,21.82866,20.74331,0
19.81314,19.25551,18.99414,18.84014,1
25.26094,21.10284,19.25393,18.62439,0
21.15166,19.12955,17.79135,17.27783,0
25.43747,22.37414,20.80676,19.74299,2
23.77061,21.44265,19.93544,19.04326,0
23.12553,22.3131,20.36233,19.51111,0
22.74612,21.51295,21.14907,20.85289,1
22.49245,20.72614,18.96765,18.37628,0
19.16559,19.07357,19.0556,18.82552,1
20.77029,20.20234,19.99641,20.01456,1
26.59147,21.45683,19.7632,18.94218,0
26.0827,22.1887,20.63009,19.8207,0
22.44654,22.34569,20.86987,19.93842,0
25.79834,22.72288,20.87588,19.78923,0
23.26418,20.91896,19.43588,18.646,0
21.67592,21.39264,21.32604,20.9038,1
24.14533,22.00804,20.5627,19.20853,2
22.1941,21.35137,21.3891,21.51182,1
19.67463,18.76823,18.47992,18.38396,2
19.45086,18.61146,18.33683,18.20685,2
20.16564,19.02732,18.56971,18.34781,2
20.03502,20.0739,19.72408,19.64201,1
21.49183,21.14126,20.86168,21.00992,1
20.64842,18.7763,18.06096,17.78009,2
23.93571,22.34431,20.79195,19.49829,0
20.5019,20.12485,19.9989,19.75319,1
20.82007,18.85272,17.5414,17.03879,0
21.99865,21.76653,20.24238,19.07973,0
23.22005,22.89477,20.96826,19.97837,0
22.77806,22.65236,21.54851,20.85207,0
19.75164,18.40325,17.53519,17.11474,0
24.63465,21.57843,21.51058,20.95188,2
24.51513,24.22494,21.34991,19.86806,0
23.35338,22.97651,21.19602,19.92714,0
19.52217,17.99568,17.23073,16.83187,0
21.40313,19.24785,17.69738,17.10028,0
21.19278,20.67703,20.6403,20.36532,1
21.53241,21.2829,20.38592,19.52336,0
23.09736,21.53955,21.68309,21.75653,2
21.96249,21.70002,21.45654,21.16948,1
21.10114,20.04892,19.65195,19.53184,2
22.8967,22.34168,21.07421,19.99664,0
24.30023,22.58175,20.88887,19.73662,0
26.24174,22.73215,21.2124,19.90026,0
26.26611,22.29228,21.01543,19.47303,0
20.2674,18.15852,17.05505,16.60658,0
23.84493,21.75475,19.73112,18.90251,0
22.57116,21.83374,21.76623,21.709,1
22.78726,23.01026,22.18353,21.79668,0
22.17909,20.79388,18.914,18.28287,0
18.41627,17.59278,17.49027,17.58324,0
23.5437,21.83557,20.42175,19.49672,0
25.97591,24.13355,21.75089,20.60015,0
25.28142,22.06839,21.30429,20.64923,0
24.58291,23.0533,22.37429,21.64602,0
21.23725,20.68799,20.51492,20.237,1
23.9612,22.40766,20.84372,19.88695,0
21.0133,20.76445,20.11476,19.75457,1
24.70416,22.29464,20.66617,19.63223,0
25.29952,21.37739,20.0573,19.18531,0
22.80012,21.52172,19.99806,19.14638,2
22.6381,20.51917,18.70584,18.12963,0
22.06492,22.11331,21.6369,21.50702,1
21.4898,21.34186,20.85272,20.85128,1
18.96398,18.00796,17.67222,17.4277,0
21.91706,20.64246,20.37845,20.06655,2
23.19501,21.3776,19.47621,18.80118,0
